tokens per iteration will be: 5,242,880
Resuming training from out
number of parameters: 52.75M
num decayed parameter tensors: 38, with 53,264,384 parameters
num non-decayed parameter tensors: 21, with 10,320 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
wandb: Currently logged in as: gabrielclark3330 (gabrielclark). Use `wandb login --relogin` to force relogin
wandb: wandb version 0.17.2 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.17.1
wandb: Run data is saved locally in /home/gabriel/Documents/projects/audio-decoder-only-interactive-model/nanoGPT-master/wandb/run-20240620_013805-corflaa8
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run gpt2Audio
wandb: ⭐️ View project at https://wandb.ai/gabrielclark/owt
wandb: 🚀 View run at https://wandb.ai/gabrielclark/owt/runs/corflaa8
step 100: train loss 0.4909, val loss 0.5069
iter 189: loss 0.4362, time 10912.34ms, mfu 56.41%
iter 190: loss 0.4257, time 10903.21ms, mfu 56.43%
iter 191: loss 0.4287, time 10909.64ms, mfu 56.43%
iter 192: loss 0.4214, time 10900.74ms, mfu 56.45%
iter 193: loss 0.4118, time 10894.86ms, mfu 56.46%
iter 194: loss 0.4225, time 10918.29ms, mfu 56.46%
iter 195: loss 0.4164, time 10907.83ms, mfu 56.46%
iter 196: loss 0.4142, time 10906.18ms, mfu 56.47%
iter 197: loss 0.4270, time 10918.03ms, mfu 56.47%
iter 198: loss 0.4181, time 10915.44ms, mfu 56.47%
iter 199: loss 0.4218, time 10983.21ms, mfu 56.43%
step 200: train loss 0.4217, val loss 0.4390
saving checkpoint to out
iter 200: loss 0.4148, time 115006.20ms, mfu 51.33%
iter 201: loss 0.4262, time 11021.07ms, mfu 51.79%
iter 202: loss 0.4286, time 19799.02ms, mfu 49.72%
iter 203: loss 0.4255, time 10690.41ms, mfu 50.52%
iter 204: loss 0.4291, time 10885.84ms, mfu 51.13%
iter 205: loss 0.4231, time 10929.53ms, mfu 51.65%
iter 206: loss 0.4303, time 10871.46ms, mfu 52.16%
iter 207: loss 0.4239, time 10907.07ms, mfu 52.60%
iter 208: loss 0.4262, time 10888.20ms, mfu 53.00%
iter 209: loss 0.4243, time 10903.10ms, mfu 53.35%
iter 210: loss 0.4248, time 10913.52ms, mfu 53.66%
iter 211: loss 0.4207, time 10899.92ms, mfu 53.95%
iter 212: loss 0.4134, time 10904.68ms, mfu 54.21%
iter 213: loss 0.4366, time 10913.78ms, mfu 54.44%
iter 214: loss 0.4107, time 10889.40ms, mfu 54.66%
iter 215: loss 0.4156, time 10909.49ms, mfu 54.84%
iter 216: loss 0.4234, time 10909.08ms, mfu 55.01%
iter 217: loss 0.4098, time 10903.05ms, mfu 55.16%
iter 218: loss 0.4199, time 10900.26ms, mfu 55.30%
iter 219: loss 0.4209, time 10895.14ms, mfu 55.43%
iter 220: loss 0.4070, time 10910.16ms, mfu 55.53%
iter 221: loss 0.4033, time 10905.03ms, mfu 55.63%
iter 222: loss 0.4274, time 10918.94ms, mfu 55.72%
iter 223: loss 0.4101, time 10905.39ms, mfu 55.80%
iter 224: loss 0.4251, time 10903.84ms, mfu 55.87%
iter 225: loss 0.4270, time 10920.09ms, mfu 55.93%
iter 226: loss 0.4197, time 10905.78ms, mfu 55.99%
iter 227: loss 0.4061, time 10900.07ms, mfu 56.04%
iter 228: loss 0.4073, time 10903.95ms, mfu 56.09%
iter 229: loss 0.4161, time 10990.93ms, mfu 56.09%
iter 230: loss 0.4112, time 10906.26ms, mfu 56.14%
iter 231: loss 0.4111, time 10916.61ms, mfu 56.17%
iter 232: loss 0.4094, time 10906.47ms, mfu 56.20%
iter 233: loss 0.3966, time 10911.65ms, mfu 56.23%
iter 234: loss 0.4213, time 10912.64ms, mfu 56.26%
iter 235: loss 0.4171, time 10907.35ms, mfu 56.28%
iter 236: loss 0.3964, time 10919.48ms, mfu 56.30%
iter 237: loss 0.4247, time 10903.02ms, mfu 56.32%
iter 238: loss 0.4144, time 10911.05ms, mfu 56.34%
iter 239: loss 0.4073, time 10908.66ms, mfu 56.36%
iter 240: loss 0.4046, time 10901.40ms, mfu 56.38%
iter 241: loss 0.4032, time 10904.76ms, mfu 56.39%
iter 242: loss 0.4244, time 10909.76ms, mfu 56.40%
iter 243: loss 0.4190, time 10963.58ms, mfu 56.39%
iter 244: loss 0.4089, time 65784.79ms, mfu 51.68%
iter 245: loss 0.4019, time 10867.33ms, mfu 52.19%
iter 246: loss 0.4052, time 10875.34ms, mfu 52.64%
iter 247: loss 0.4093, time 10880.71ms, mfu 53.04%
iter 248: loss 0.4171, time 10884.13ms, mfu 53.40%
iter 249: loss 0.4212, time 10880.09ms, mfu 53.72%
iter 250: loss 0.4105, time 10909.69ms, mfu 54.00%
iter 251: loss 0.4062, time 10874.69ms, mfu 54.27%
iter 252: loss 0.4149, time 10893.08ms, mfu 54.50%
iter 253: loss 0.4135, time 10903.17ms, mfu 54.71%
iter 254: loss 0.4276, time 10909.12ms, mfu 54.89%
iter 255: loss 0.4174, time 10904.40ms, mfu 55.05%
iter 256: loss 0.4083, time 10916.22ms, mfu 55.19%
iter 257: loss 0.4039, time 10901.96ms, mfu 55.33%
iter 258: loss 0.4053, time 10916.91ms, mfu 55.44%
iter 259: loss 0.4001, time 10907.45ms, mfu 55.55%
iter 260: loss 0.4099, time 10908.09ms, mfu 55.64%
iter 261: loss 0.4225, time 10908.80ms, mfu 55.73%
iter 262: loss 0.4179, time 10910.75ms, mfu 55.81%
iter 263: loss 0.4039, time 10906.97ms, mfu 55.88%
iter 264: loss 0.4141, time 10910.65ms, mfu 55.94%
iter 265: loss 0.4239, time 10904.24ms, mfu 56.00%
iter 266: loss 0.4161, time 10908.24ms, mfu 56.05%
iter 267: loss 0.4141, time 10909.69ms, mfu 56.10%
iter 268: loss 0.4069, time 10911.96ms, mfu 56.14%
iter 269: loss 0.3963, time 10904.46ms, mfu 56.18%
iter 270: loss 0.4021, time 10910.75ms, mfu 56.21%
iter 271: loss 0.4189, time 10910.55ms, mfu 56.24%
iter 272: loss 0.4004, time 10906.75ms, mfu 56.26%
iter 273: loss 0.4180, time 10893.15ms, mfu 56.30%
iter 274: loss 0.4064, time 10914.32ms, mfu 56.32%
iter 275: loss 0.4136, time 10905.40ms, mfu 56.34%
iter 276: loss 0.4265, time 10914.88ms, mfu 56.35%
iter 277: loss 0.4030, time 10903.06ms, mfu 56.37%
iter 278: loss 0.4148, time 10917.01ms, mfu 56.38%
iter 279: loss 0.3990, time 10918.09ms, mfu 56.39%
iter 280: loss 0.4013, time 10895.07ms, mfu 56.41%
iter 281: loss 0.4029, time 10914.05ms, mfu 56.41%
iter 282: loss 0.4006, time 10908.95ms, mfu 56.42%
iter 283: loss 0.4027, time 10898.79ms, mfu 56.44%
iter 284: loss 0.3992, time 10912.21ms, mfu 56.44%
iter 285: loss 0.4267, time 10915.50ms, mfu 56.44%
iter 286: loss 0.4138, time 10908.01ms, mfu 56.45%
iter 287: loss 0.4120, time 10901.38ms, mfu 56.46%
iter 288: loss 0.4010, time 10908.63ms, mfu 56.47%
iter 289: loss 0.4101, time 10904.50ms, mfu 56.47%
iter 290: loss 0.3919, time 10911.18ms, mfu 56.47%
iter 291: loss 0.4092, time 10891.58ms, mfu 56.49%
iter 292: loss 0.4190, time 10907.53ms, mfu 56.49%
iter 293: loss 0.4029, time 10912.64ms, mfu 56.49%
iter 294: loss 0.4056, time 10897.50ms, mfu 56.50%
iter 295: loss 0.3903, time 10910.27ms, mfu 56.50%
iter 296: loss 0.3977, time 10906.61ms, mfu 56.50%
iter 297: loss 0.3946, time 10904.09ms, mfu 56.50%
